rho,phi,dphi
47.2787,3.4841253742,-0.0849029690
47.2800,3.4840191805,-0.0850070096
47.2812,3.4839128566,-0.0851111712
47.2825,3.4838064025,-0.0852154540
47.2837,3.4836998179,-0.0853198580
47.2850,3.4835931028,-0.0854243836
47.2862,3.4834862569,-0.0855290306
47.2875,3.4833792802,-0.0856337993
47.2887,3.4832721724,-0.0857386898
47.2900,3.4831649334,-0.0858437023
47.2912,3.4830575631,-0.0859488368
47.2925,3.4829500612,-0.0860540934
47.2938,3.4828424278,-0.0861594724
47.2950,3.4827346625,-0.0862649738
47.2962,3.4826267653,-0.0863705977
47.2975,3.4825187360,-0.0864763443
47.2987,3.4824105744,-0.0865822137
47.3000,3.4823022804,-0.0866882060
47.3013,3.4821938538,-0.0867943213
47.3025,3.4820852945,-0.0869005599
47.3037,3.4819766024,-0.0870069217
47.3050,3.4818677772,-0.0871134070
47.3062,3.4817588188,-0.0872200158
47.3075,3.4816497271,-0.0873267483
47.3088,3.4815405019,-0.0874336047
47.3100,3.4814311430,-0.0875405849
47.3112,3.4813216504,-0.0876476892
47.3125,3.4812120237,-0.0877549177
47.3137,3.4811022630,-0.0878622705
47.3150,3.4809923680,-0.0879697478
47.3162,3.4808823386,-0.0880773496
47.3175,3.4807721746,-0.0881850761
47.3187,3.4806618758,-0.0882929274
47.3200,3.4805514422,-0.0884009037
47.3212,3.4804408735,-0.0885090050
47.3225,3.4803301696,-0.0886172316
47.3237,3.4802193304,-0.0887255835
47.3250,3.4801083556,-0.0888340608
47.3262,3.4799972452,-0.0889426637
47.3275,3.4798859989,-0.0890513923
47.3288,3.4797746167,-0.0891602468
47.3300,3.4796630983,-0.0892692273
47.3312,3.4795514435,-0.0893783338
47.3325,3.4794396524,-0.0894875665
47.3337,3.4793277246,-0.0895969257
47.3350,3.4792156600,-0.0897064112
47.3363,3.4791034585,-0.0898160234
47.3375,3.4789911199,-0.0899257624
47.3387,3.4788786440,-0.0900356282
47.3400,3.4787660308,-0.0901456209
47.3412,3.4786532799,-0.0902557409
47.3425,3.4785403914,-0.0903659880
47.3438,3.4784273649,-0.0904763625
47.3450,3.4783142004,-0.0905868646
47.3462,3.4782008977,-0.0906974943
47.3475,3.4780874566,-0.0908082517
47.3487,3.4779738770,-0.0909191370
47.3500,3.4778601587,-0.0910301504
47.3512,3.4777463016,-0.0911412919
47.3525,3.4776323054,-0.0912525617
47.3537,3.4775181701,-0.0913639599
47.3550,3.4774038955,-0.0914754866
47.3563,3.4772894813,-0.0915871421
47.3575,3.4771749276,-0.0916989263
47.3587,3.4770602340,-0.0918108394
47.3600,3.4769454004,-0.0919228816
47.3612,3.4768304267,-0.0920350530
47.3625,3.4767153127,-0.0921473537
47.3638,3.4766000583,-0.0922597838
47.3650,3.4764846632,-0.0923723436
47.3662,3.4763691274,-0.0924850330
47.3675,3.4762534506,-0.0925978523
47.3687,3.4761376327,-0.0927108015
47.3700,3.4760216735,-0.0928238809
47.3713,3.4759055729,-0.0929370905
47.3725,3.4757893307,-0.0930504304
47.3737,3.4756729468,-0.0931639008
47.3750,3.4755564209,-0.0932775019
47.3762,3.4754397530,-0.0933912337
47.3775,3.4753229428,-0.0935050964
47.3787,3.4752059902,-0.0936190900
47.3800,3.4750888950,-0.0937332149
47.3812,3.4749716571,-0.0938474710
47.3825,3.4748542763,-0.0939618585
47.3837,3.4747367524,-0.0940763776
47.3850,3.4746190853,-0.0941910284
47.3862,3.4745012748,-0.0943058109
47.3875,3.4743833207,-0.0944207254
47.3887,3.4742652229,-0.0945357719
47.3900,3.4741469812,-0.0946509506
47.3913,3.4740285955,-0.0947662617
47.3925,3.4739100655,-0.0948817052
47.3937,3.4737913912,-0.0949972814
47.3950,3.4736725723,-0.0951129902
47.3962,3.4735536086,-0.0952288319
47.3975,3.4734345001,-0.0953448066
47.3988,3.4733152466,-0.0954609144
47.4000,3.4731958478,-0.0955771555
47.4012,3.4730763036,-0.0956935299
47.4025,3.4729566139,-0.0958100379
47.4037,3.4728367785,-0.0959266795
47.4050,3.4727167971,-0.0960434549
47.4062,3.4725966698,-0.0961603642
47.4075,3.4724763962,-0.0962774076
47.4087,3.4723559762,-0.0963945851
47.4100,3.4722354097,-0.0965118970
47.4112,3.4721146964,-0.0966293433
47.4125,3.4719938362,-0.0967469242
47.4137,3.4718728290,-0.0968646398
47.4150,3.4717516746,-0.0969824902
47.4162,3.4716303727,-0.0971004757
47.4175,3.4715089233,-0.0972185962
47.4188,3.4713873262,-0.0973368520
47.4200,3.4712655812,-0.0974552432
47.4212,3.4711436880,-0.0975737699
47.4225,3.4710216467,-0.0976924322
47.4237,3.4708994569,-0.0978112304
47.4250,3.4707771185,-0.0979301644
47.4263,3.4706546314,-0.0980492345
47.4275,3.4705319954,-0.0981684408
47.4287,3.4704092103,-0.0982877833
47.4300,3.4702862759,-0.0984072624
47.4312,3.4701631921,-0.0985268780
47.4325,3.4700399586,-0.0986466304
47.4338,3.4699165754,-0.0987665196
47.4350,3.4697930423,-0.0988865458
47.4362,3.4696693590,-0.0990067091
47.4375,3.4695455254,-0.0991270097
47.4387,3.4694215414,-0.0992474477
47.4400,3.4692974068,-0.0993680232
47.4412,3.4691731213,-0.0994887363
47.4425,3.4690486849,-0.0996095873
47.4437,3.4689240973,-0.0997305762
47.4450,3.4687993584,-0.0998517032
